"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cart & Checkout","0","Remove product","1","0","","0"
"0","Cart & Checkout","0","Add product","4","0","","0"
