"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a product added by productID appears in the cart with correct price.","14661","Should add IDANÄS Łóżko z pojemnikiem, 160x200 cm by productID to the cart and verify its price","","Tue May 13 12:24:37 UTC 2025","passed","Tue May 13 12:24:52 UTC 2025","","Cart – Add product","",""
"Verify that a product added by productID appears in the cart with correct price.","13039","Should add VIMLE Sofa 2-osobowa rozkładana by productID to the cart and verify its price","","Tue May 13 12:24:09 UTC 2025","passed","Tue May 13 12:24:22 UTC 2025","","Cart – Add product","",""
"Verify that a product added by productID appears in the cart with correct price.","20240","Should add SONGESAND Rama łóżka z 2 pojemnikami, biały by productID to the cart and verify its price","","Tue May 13 12:23:48 UTC 2025","passed","Tue May 13 12:24:08 UTC 2025","","Cart – Add product","",""
"Verify user can remove a product from cart and see empty state.","6946","Should remove the product from the cart and show an empty state","","Tue May 13 12:24:54 UTC 2025","passed","Tue May 13 12:25:01 UTC 2025","","Cart – Remove product from cart","",""
"Verify that a product added by productID appears in the cart with correct price.","14472","Should add VIMLE Rozkładana sofa 3-osobowa by productID to the cart and verify its price","","Tue May 13 12:24:22 UTC 2025","passed","Tue May 13 12:24:37 UTC 2025","","Cart – Add product","",""
